68382e088b10010f	Integrated Magnetics	Mechanical Engineer	Tucson, AZ 85714 (Fairgrounds area)	ME	ENTRY_LEVEL	From $60,000 a year
8fd01f4e4cb0c7c8	EMD Serono	Mechanical Engineer	Danvers, MA 01923	ME	ENTRY_LEVEL	From $30 an hour
1a6fbfcf61b8a40b	Aforce solutions	Mechanical Engineer- Medical Device	Minneapolis, MN 55411 (North Loop area)	ME	ENTRY_LEVEL	$50 - $55 an hour
b7a428ec300bc56e	GHT Limited Consulting Engineers	Mechanical Design Engineers- Seasonal	Arlington, VA	ME	ENTRY_LEVEL	Estimated $65.7K - $83.2K a year
34a95622ee7e3a9b	Penn State University	Part Time - UG Research Assistant - Mechanical Engineering	University Park, PA	ME	ENTRY_LEVEL	NA
00d5e2422b0047e1	Le Meridien Hotel by Marriott	Engineer 1st Class Overnight	New Orleans, LA 70130 (Central Business District area)	ME	ENTRY_LEVEL	From $24 an hour
703d90a35bc3ca24	TekwissenGroup	Product Design Engineer / Fixture Design Engineer	Waterloo, IA	ME	ENTRY_LEVEL	$34 - $36 an hour
54f9abc848f1d33f	Lockheed Martin	Manufacturing Engineer Early Career - Ocala, FL	Ocala, FL 34472	ME	ENTRY_LEVEL	NA
b880cdb12d6d0c15	Holder Construction	MEP Engineer	Ashburn, VA	ME	ENTRY_LEVEL	Estimated $74.8K - $94.8K a year
6df6501de4364205	Actalent Services	Powertrain Engineer	Redford, MI 48239	ME	ENTRY_LEVEL	$75,000 - $85,000 a year
eb7884a1ce0c85db	Radiant company	Product Designer/User Experience Research & Test Engineer	Farmington Hills, MI	ME	ENTRY_LEVEL	$33.65 an hour
7cee6e9ea4e777e4	Barry Wehmiller Companies Inc	Mechanical Engineering Co-Op	Baltimore, MD	ME	ENTRY_LEVEL	Estimated $66.5K - $84.2K a year
c2ec731fef0d26f1	Leeco Steel	Mechanical Design CAD Programmer	Oshkosh, WI 54904	ME	ENTRY_LEVEL	Estimated $48K - $60.8K a year
0aa83b540223ebc5	Leeco Steel	Mechanical Design CAD Programmer	Oshkosh, WI 54904	ME	ENTRY_LEVEL	Estimated $48K - $60.8K a year
15adf42f89b0ae51	U.S. Army Communications Electronics Command	MECHANICAL ENGINEER	Tobyhanna, PA	ME	ENTRY_LEVEL	$96,808 - $125,851 a year
7c95a489c165e1d4	Aforce solutions	Mechanical Engineer - Medical Device	Southington, CT 06489	ME	ENTRY_LEVEL	$40 - $45 an hour
4edd841f5d1ffdab	TMMG	Marine Naval Architect/Structural Engineer - 160138	Chesapeake, VA 23320 (Greenbrier West area)	ME	ENTRY_LEVEL	NA
06b9d05deeaeeb6f	O'Neal Industries' Affiliates	Mechanical Design CAD Programmer	Oshkosh, WI 54904	ME	ENTRY_LEVEL	Estimated $46.7K - $59.2K a year
