a6db0a23cede2cd5	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 3	Ottawa, IL 61350	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
62d8b12a6582e4c0	US National Park Service	Civil Engineer - Direct Hire Authority	Washington, DC 20242 (East Potomac Park area)	CE	ENTRY_LEVEL	$112,015 - $145,617 a year
55cb1e940e122cc5	Caltrans - CA Dept. of Transportation	Transportation Engineer (Civil) (JC-404572)	Marysville, CA	CE	ENTRY_LEVEL	$110,928 - $138,804 a year
d9ba95761ac1b775	Caltrans - CA Dept. of Transportation	Transportation Engineer (Civil) (JC-404660)	Crescent City, CA	CE	ENTRY_LEVEL	$74,100 - $138,804 a year
9d92ba7e8f1361f8	AECOM	Entry Level Structural Dams Engineer	Denver, CO 80238	CE	ENTRY_LEVEL	$70,000 - $85,000 a year
4d38d3dd76bc3bde	US Forest Service	Civil Engineer	Albuquerque, NM	CE	ENTRY_LEVEL	$98,496 - $128,043 a year
4245394c077b76af	City of Walla Walla	Civil Engineer I - Without P.E.	Walla Walla, WA 99362	CE	ENTRY_LEVEL	$68,515 - $83,365 a year
fe09c8fb11bbae4f	AECOM	Mid Level Structural Engineer - Hydraulic Structures	Denver, CO 80238	CE	ENTRY_LEVEL	$105,000 - $125,000 a year
0e0f49438d0bea3e	GEORGIA CIVIL INC	Civil Designer/Civil Engineer (FT)	Remote	CE	ENTRY_LEVEL	Estimated $66.7K - $84.4K a year
de5447ac08a1ebf6	Transportation, Department of	Engineer Trainee/Assistant Engineer (Civil)	Long Island City, NY 11101	CE	ENTRY_LEVEL	$63,108 - $88,721 a year
5d5297bc4ae702e0	Advantage Engineering Associates PC	Entry-Level Civil Engineer	Cranbury, NJ 08512	CE	ENTRY_LEVEL	From $70,000 a year
2a3c1e0ac42cec20	Sunseri Construction	Construction Project Engineer / Project Manager (Entry Level)	Redding, CA 96001	CE	ENTRY_LEVEL	$60,000 - $85,000 a year
278d4a334c8e4110	AECOM	Entry Level Structural Dams Engineer	Denver, CO	CE	ENTRY_LEVEL	$70,000 - $85,000 a year
368fc5ab8234fe12	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 6	Springfield, IL 62704	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
74b8b6e9dce20c64	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 9	Carbondale, IL 62901	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
9186bedd898779f2	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 4	Peoria, IL 61602 (Downtown Peoria area)	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
0956f738f4546768	O'Connell & Associates Consulting Engineers	Community Engineer / Reserve Specialist	Destin, FL 32541	CE	ENTRY_LEVEL	$55,000 - $68,000 a year
db4e724aa22466a6	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 5	Paris, IL 61944	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
0f21225f3da5e9ee	MiTek Inc.	Design Engineer I	Chesterfield, MO 63017	CE	ENTRY_LEVEL	Estimated $61.4K - $77.7K a year
c113e6212c1529d7	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 8	Collinsville, IL 62234	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
38ff7f1f426ec8ae	Columbia Engineering and Services, Inc.	Engineering Co-Op	Duluth, GA 30096	CE	ENTRY_LEVEL	Estimated $61.3K - $77.6K a year
4b6feeb3e5bee1e2	Federal Highway Administration	Civil Engineer (Operations Program Specialist)	Nashville, TN 37217 (Nashville International Airport area)	CE	ENTRY_LEVEL	$82,830 - $107,680 a year
54a6ca896719f7be	SMH Consultants	Civil Engineer	Mission, KS 66205	CE	ENTRY_LEVEL	$65,000 - $75,000 a year
ac80a553bacf73b8	State of Illinois	CIVIL ENGINEER TRAINEE - DISTRICT 7	Effingham, IL 62401	CE	ENTRY_LEVEL	$4,605 - $5,205 a month
b6921aef163e8f63	Hire Intelligent LLC	Construction Project Engineer	Saratoga Springs, NY	CE	ENTRY_LEVEL	$50,000 - $75,000 a year
3feba43f1746c7ae	U.S. Marine Corps	INTERDISCIPLINARY ARCHITECT CIVIL ENGINEER COMMUNITY PLANNER	Camp Pendleton, CA	CE	ENTRY_LEVEL	$78,307 - $122,016 a year
